nombre,telefono,lunes,martes,miercoles,jueves,viernes,sabado,domingo
Maria Perez,555-1001,si,si,no,si,no,si,si
Juan Garcia,555-1002,no,si,si,si,si,no,no
Ana Rodriguez,555-1003,si,no,si,no,si,si,si
Luis Fernandez,555-1004,si,si,si,si,si,no,si
Carmen Lopez,555-1005,no,no,si,si,si,si,no
Pedro Martinez,555-1006,si,no,no,si,si,si,si
Sofia Diaz,555-1007,si,si,si,no,no,si,si
Jose Sanchez,555-1008,no,si,si,si,si,no,si
Laura Torres,555-1009,si,no,si,no,si,no,si
Miguel Ramirez,555-1010,si,si,no,si,si,si,no
Elena Castro,555-1011,si,si,si,si,no,no,si
Carlos Vega,555-1012,no,si,si,si,si,si,si
Rosa Morales,555-1013,si,no,si,si,no,si,si
Andres Rojas,555-1014,si,si,no,no,si,si,si
Teresa Aguirre,555-1015,no,no,si,si,si,si,no
Fernando Nunez,555-1016,si,si,si,no,si,no,si
Patricia Herrera,555-1017,si,no,no,si,si,si,si
Roberto Guzman,555-1018,no,si,si,si,si,no,si
Gabriela Paredes,555-1019,si,si,si,si,no,si,si
Tomas Espinoza,555-1020,si,no,si,si,si,si,si
